sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns
S_22_08022,129288,3727494,28.831,39.521
S_22_08023,125642,2327092,18.522,24.886
S_22_08025,105337,1090799,10.355,12.350
S_22_08029,123177,3155042,25.614,32.702
S_22_08030,107730,1926843,17.886,20.814
S_22_08031,143792,5504211,38.279,55.813
S_22_08032,113982,2844356,24.954,29.998
S_22_08033,96960,957085,9.871,11.897
S_22_08035,128774,3288957,25.541,33.418
S_22_08036,102155,1497605,14.660,17.307
S_22_08037,93419,778884,8.338,9.392
S_22_08038,84355,585391,6.940,7.642
